id_fs;lib_fs
234;France services Pimms Médiation Isère - Grenoble
235;France services Saint Marcellin
236;France services Pont de Beauvoisin
237;France services Morestel
238;France services Oisans
239;France services Monestier de Clermont
240;France services Pimms Médiation Isère - Pont de Claix
241;France services Salins
242;France services Chaussin
243;France services Val d’Amour
244;France services Arbois
245;Bus France services Mont-de-Marsan Agglomération
246;France services du Pays d'Orthe et Arrigans
247;France services de Geaune (La Poste)
248;France services de Rion-des-Landes (La Poste)
249;France services d'Aire-sur-l’Adour
250;France services Pimms Médiation de Blois
251;France services Mondoubleau
252;France services Salbris
253;Bus France services Mer
255;France services Craponne-sur-Arzon
256;France services Vorey-sur-Arzon
257;France services du Secteur de Riaillé
258;France services Derval
259;France services Maison du département de l'ouest Orléanais
260;France services de Montargis
261;France services Beaune la Rolande
262;Bus France services Communauté d'agglomération Grand Cahors
263;France services Association Ségala Limargue
264;France services Cauvaldor - Biars-sur-Cère
265;France services Cajarc
266;France services Communauté de communes du Causse de Labastide-Murat
267;France services Gourdon
268;France services Duras
269;France services de Laplume
270;France services Nérac
271;France services Marvejols
272;France services Saint-Chély d’Apcher
273;France services Pont de Montvert Sud Mont-Lozère
274;France services Langogne
275;France services Chemillé-en-Anjou
276;France services Saint-Georges-sur-Loire
277;France services Montreuil-Bellay
278;France services Chalonnes-sur-Loire
279;France services Les Hauts d'Anjou
280;France services Orée d’Anjou
281;France services Beaupréau-en-Mauges
282;France services Sourdeval
283;France services Brecey
284;France services Lessay
285;France services Carentan
286;France services Saint Hilaire du Harcouet
287;France services Le teilleul
288;France services Valognes
289;France services Villedieu Les Poeles Rouffigny
290;France services Jonchery sur Vesle
291;France services Bassuet
292;France services Dormans - Paysages de la Champagne
293;France services Argonne Champenoise
295;France services Auberive Vingeanne Montsaugeonnais - Antenne de Longeau
297;France services Bologne
298;France services Gorron
299;France services Pré-en-Pail-Saint-Samson
300;France services Meslay-du-Maine
301;France services Ambrières-les-Vallées
302;France services Loiron
303;France services Craon
304;France services Ernée
305;France services Villaines-la-Juhel
306;France services Seille et Grand Couronné
307;France services Vézelise
308;France services Mont sur Meurthe
309;France services Einville et Environs
311;France services Pimms Médiation Grand Longwy
312;France services Blâmont
314;France services Mad & Moselle
315;France services Cirey-sur-Vezouze
316;France services Badonviller
317;France services Gondrecourt le Château
318;France services Commercy
319;France services Varennes en argonne
320;France services Centre Socioculturel d'Étain et sa Région
321;France services Ligny-en-Barrois
322;France services Stenay val Dunois
324;France services Roi Morvan Communauté
326;France services Guémené-sur-Scorff
327;France services Locmine
328;France services Groix
329;France services Entrange
330;France services de Châtillon en Bazois
331;France services de Château-Chinon
332;France services de Lormes
333;France services de Luzy
334;France services de Varzy
335;France services de Donzy
336;France services de Montsauche-les-Settons
337;France services de Saint-Pierre-le-Moûtier
338;France services de Cercy-la-Tour
339;France services de La Machine
340;France services de Moulins Engilbert
341;France services de Saint-Saulge
342;France services de Brinon-sur-Beuvron
343;France services de Fourchambault
344;France services de Corbigny
345;Bus France services de l’Avesnois
346;France services Hondschoote
347;France services Pecquencourt
348;France services Anor
349;France services Raimbeaucourt
350;France services Le Cateau-Cambrésis
351;France services Bourbourg
352;France services Solesmes
353;Fixe Bruay-sur-l'Escaut  ( Département du Nord)
354;France services Saint-Just en Chaussée
355;France services Pimms Médiation de Nogent-sur-Oise
356;France services Grandvilliers
357;France services Crévecoeur le Grand
358;France services Ressons-sur-Matz
359;France services Betz
360;France services Le Coudray Saint-Germer
361;France services Alençon - Perseigne
362;France services Coeur du Perche - Bretoncelles
363;France services Coeur du Perche – Rémalard
364;France services L’Aigle
365;France services Sains-en-Gohelle
366;France services Maison de la Morinie
367;France services de Desvres – Maison Intercommunale Pour Tous
368;France services Pimms Médiation de Lens
369;France services Pays d'opale de Guines
370;France services de Lumbres
371;France services de Béthune
372;Bus France services Pimms Médiation du Béthunois
373;France services d’Etaples
374;France services Pimms Médiation de Bruay-la-Buissière
375;France services Pimms Médiation de Libercourt
376;France services de Beaurainville
377;France services Pontgibaud
378;France services Mont Dore relais Sancy
379;France services Pontaumur
380;France services Saint-Gervais
381;France services Viverols
382;France services Giat
383;France services Bourg Lastic
385;France services Mauléon-Licharre
386;France services Mourenx
387;France services Tarbes Laubadère (La Poste)
389;France services Rabastens-de-Bigorre
390;France services Saint-Lary-Soulan GIPE
392;France services Haute-Bigorre
393;France services des Coteaux
394;France services d'Arreau (La Poste)
395;France services de Pierrefitte-Nestalas (La Poste)
397;France services Sarp
398;France services Vic-en-Bigorre
399;France services Maubourguet
400;France services Ille sur têt
401;France services Arles sur Tech
402;France services Banyuls sur mer
403;France services Tautavel
404;France services Strasbourg Lizé (La Poste)
405;France services Schirmeck
406;France services Villé
407;France services Wasselonne
408;France services Sarre-Union
409;France services Durrenbach
410;France services Truchtersheim
411;France services Saverne
412;France services Altkirch
413;France services Lavoncourt
414;France services Rioz
415;France services Quers
416;France services Champagney
417;France services Haute Comté
419;France services Pimms Médiation de Chauffailles
420;France services Pimms Médiation Val de Joux
421;France services Sennecey-le-Grand
422;France services Pimms Médiation de Melay
423;France services Verdun-sur-le-Doubs
424;France services CC Haute Sarthe Alpes mancelles
425;France services Brûlon
426;France services CC Sud Sarthe
427;France services Valgelon La Rochette
428;France services Saint Michel de Maurienne
429;France services Yenne
430;France services Entrelacs
431;France services Haut-Chablais
432;France services Faucigny Glières
433;France services Gaillard
434;France services Pays du Mont Blanc
435;France services Pimms Médiation Paris 12ème - Sud-Est
436;France services Pimms Médiation Paris 15ème - Sud
437;France services Pimms Médiation Paris 18ème - Nord-Est
438;France services Pimms Médiation Paris 20ème - Est
440;France services Espaces numériques mobiles de Normandie - Antenne de Rouen
441;France services Espace Numérique Mobile de Normandie - Antenne de Lillebonne
442;France services Gournay (La Poste)
443;France services Relais accueil des gens du voyage de l’agglomération rouennaise
444;France services Blangy sur Bresle
445;France services Oissel sur Seine
446;France services Espace Public du Littoral
447;France services Caux Seine agglo
448;France services Plateau de Caux de Doudeville
449;Bus France services Espaces numériques de Normandie - Le Havre
450;France services Falaises du Talou
451;France services Centre social Caravelles
452;France services Centre social Agiès
453;France services Espace Delahaye
454;France services Pimms Médiation Melun
455;Bus France services Plaines et Monts de France
456;France services Nangis Lude
457;France services Pimms Médiation Yvelines - Les Mureaux
458;France services Point Services aux Particuliers
459;France services Thoiry
460;France services Niort Clou-Bouchet
461;France services Argentonnay
462;France services Sauzé-Vaussais
463;France services Haut Val de Sèvre de Saint-Maixent-l'Ecole
464;France services Airvault
465;France services Mauléon
466;France services Amiens - Nord
467;France services Amiens - Etouvie
468;France services Abbeville
469;France services Ham
470;France services Albi - Rive droite
471;France services Centre Tarn
472;France services Lautrécois-Pays d'Agout
473;France services Lacaune
474;France services Alban
475;France services Lauzerte
476;France services Lafrançaise
477;France services Grisolles
478;France services de Saint-Nicolas-de-la-Grave
479;France services Grisolles - Antenne de Labastide-Saint-Pierre
480;France services Négrepelisse - Quercy vert Aveyron
481;France services Méounes-lès-Montrieux
482;France services Pays de Fayence
483;France services Muy
484;France services Seyne sur Mer
485;France services Collobrières
486;France services Aups
488;France services Sablet
489;France services Villemarie Carpentras
491;France services Malaucène
492;France services Ventoux Sud - Sault
493;France services Bédoin
494;France services Sud Vendée Littoral
495;France services Mormoiron
496;France services Valréas
497;France services Maubec Le Coustelet
498;France services Sorgues
499;France services Chantonnay
500;France services du Pays de la Chataigneraie en Vendée
502;France services Sainte-Hermine
503;France services Benet
504;France services Moutiers les Mauxfaits
505;France services Vie et Boulogne
506;France services Pays de Pouzauges
507;France services Pimms Médiation Poitiers
508;France services Moncontour
510;France services Arnac-la-Poste
511;France services Châlus
512;France services Pimms Médiation Ambazac
513;France services Châteauponsac
514;France services Rochechouart
515;France services Nexon
516;France services Epinal
517;France services Xertigny
518;France services La Vôge-les-Bains
519;France services Neufchâteau
520;France services Fraize - Antenne de Corcieux
521;France services Bruyères - Antenne de Docelles
522;France services Bruyères
523;France services Bruyères - Antenne de Brouvelieures
524;France Services de FRAIZE
525;France services Rambervillers
526;France services Charny Orée de Puisaye
527;France services Sergines
528;France services Bléneau
529;France services Seignelay
530;France services Les Vallées de la Vanne
531;France services Chéroy
532;France services Pimms Médiation Evry Cœur d'Essonne
533;France services sous-préfecture d'Etampes
534;France services Athis Mons
535;France services Coeur Essonne Agglomération
536;France services Igny
537;France services Milly-la-Forêt
538;France services Communauté de communes du Val d’Essonne
539;France services Angerville
540;France services Saclas
543;France services Brunoy
544;France services Pimms Médiation Antony
546;France services Villeneuve-la-Garenne
547;France services Colombes - Jules Michelet
549;France services Pimms Médiation Noisy-Le-Grand - Pavé-Neuf
550;France services Pimms Médiation Sevran
551;France services Nogent-sur-Marne
552;France services Pimms Médiation Garges-Sarcelles
553;France services Vigny (La Poste)
554;France services Pimms Médiation Cergy
555;France services Le Lorrain
556;France services Les Anses d'Arlet
557;France services Ducos
558;France services Le Morne Vert
559;France services Sincère Mandé
561;France services Makes
562;France services de Saint-Joseph - Jean-Petit
563;France services de Saint-Joseph - Lianes
565;France services Kani-Kéli
566;France services M’Tzamboro
567;France services Combani
568;France services Banon
569;France services La Ciotat
570;France services Deux Grosnes
571;France services Monts-Sur-Guesnes
573;France services Barcelonnette
574;France services Forcalquier
575;France services Saint-André-les-Alpes
576;France services Embrun
577;France services Serres
578;France services Veynes
579;France services Mansle
580;Bus France services Pimms Médiation Rennes - Communauté de communes Roche aux Fées
581;France services Noirétable
582;France services Catus
583;France services Prauthoy
584;France services Mauron
585;France services Pimms Médiation Amplepuis
587;France services Mornant
589;Bus France services Pays d’Apt Luberon
590;Bus France services Tonnay-Charente
592;France services Digne les Bains
593;France services Manosque
594;France services Pimms Médiation Brest - Kérédern
595;France services Grand-Champ Loch info services
596;France services Saint-Jean-Brévelay
597;France services Alençon-Perseigne - Antenne de Courteille
598;France services Coeur du Perche - Antenne de Berd'huis
599;France services Coeur du Perche - Antenne de Perche en Nocé
601;France services Pau - Antenne d'Ousse des Bois
602;France services Pau - Saragosse
603;France services Le Prêcheur
604;France services Chazelles-sur-Lyon
605;France services Saint-Bonnet-le-Château
606;France services Saint-Géry Vers
607;France services Albret - Lavardac
608;France services Montigny-le-Roi
610;France services Saint Laurent de Chamousset
611;France services Saint Symphorien sur Coise
612;France services La Batie Neuve
613;France services Briançonnais
614;France services Rosans
615;France services Laragne
616;France services Pays des écrins
617;France services du Pays des Ecrins - Antenne Vallouise Pelvoux
618;France services d'Embrun - Antenne Savines le lac
619;France services d'Embrun - Antenne Chorges
620;France services Veynes - Antenne d'Aspres-sur-Buëch
625;France services Alsace Bossue - Antenne de Drulingen
626;France services Bassuet - Antenne de Sermaize-les-Bains
627;France services Bassuet - Antenne de Pargny-sur-Saulx
629;France services Argonne Champenoise - Antenne Vienne-le-Château
630;France services Argonne Champenoise - Givry-en-Argonne
631;France services Paysages de la Champagne - Antenne La Chaussée de Damery
632;France services Paysages de la Champagne - Antenne Châtillon sur Marne
633;France services Paysages de la Champagne - Antenne Montmort-Lucy
634;France services d'Amberieu-en-Bugey
635;France services Val de Durance
636;France services Les Aspres
637;France services Maison du département de Saint-Martin Vésubie
638;France services Entraygues sur Truyère
639;France services Sévérac d'Aveyron
640;Bus France services CyberCantal
641;France services Chambon sur Lignon
642;France services de Guillestrois
643;France services Petite Montagne
644;France services Porte du Jura
645;France services Piton des Goyaves
646;France services Nozay
647;France services Maison du département de Pithiviers
648;France services Villeneuve-sur-Lot
649;France services Bocage Champenois
650;France services Bocage Champenois - Antenne Thiéblemont-Farémont
651;France services Suippes
652;France services Ennery
653;France services Vic sur Seille
654;France services Morhange
655;France services de Saint-Benin d'Azy
656;France services Pimms Médiation Lyon Métropole - Rillieux la Pape
657;France services Pimms Médiation Lyon Métropole - Etats-Unis
658;France services Pimms Médiation Lyon Métropole - Vaise
659;France services Thizy les Bourgs
660;France services Pimms Médiation Agglomération Villefranche Beaujolais Saône
661;France services Vaugneray
662;France services Fleurie
663;France services Loir-Lucé-Bercé
664;France services Voyageurs 72
665;France services Moûtiers
666;France services Bacqueville-en-Caux
667;France services L’Escale
668;France services Saint-Denis
669;France services Janzé
670;France services Association Ségala Limargue - Antenne Sousceyrac-en-Quercy
671;France services de Mortain Bocage
672;France services Le Teilleul - Antenne de Barenton
673;France services Cèze Cévennes - Antenne de Bessèges
